Time (sec),GHF0.3,GHF0.9,GHF1.5,GHF2.1,TGas0.3,Tgas0.9,Tgas1.5,Tgas2.1
0,0,0,0,0,84.2271594,74.70049525,66.92874293,59.65839397
0.1,0.048908044,0,0,0,84.16277557,74.54216211,66.85155041,59.65839397
0.2,0.097816088,0,0,0,84.09839175,74.38382896,66.77435789,59.65839397
0.3,0.146724132,0,0,0,84.03400792,74.22549581,66.69716538,59.65839397
0.4,0.195632176,0,0,0,83.96962409,74.06716266,66.61997286,59.65839397
0.5,0.24454022,0,0,0,83.90524026,73.90882952,66.54278034,59.65839397
0.6,0.293448264,0,0,0,83.84085644,73.75049637,66.46558783,59.65839397
0.7,0.342356307,0,0,0,83.77647261,73.59216322,66.38839531,59.65839397
0.8,0.391264351,0,0,0,83.71208878,73.43383007,66.31120279,59.65839397
0.9,0.440172395,0,0,0,83.64770496,73.27549693,66.23401028,59.65839397
1,0.489080439,0,0,0,83.58332113,73.11716378,66.15681776,59.65839397
1.1,0.537988483,0,0,0,83.5189373,72.95883063,66.07962524,59.65839397
1.2,0.586896527,0,0,0,83.45455347,72.80049748,66.00243273,59.65839397
1.3,0.635804571,0,0,0,83.39016965,72.64216433,65.92524021,59.65839397
1.4,0.684712615,0,0,0,83.32578582,72.48383119,65.84804769,59.65839397
1.5,0.733620659,0,0,0,83.26140199,72.32549804,65.77085518,59.65839397
1.6,0.782528703,0,0,0,83.19701817,72.16716489,65.69366266,59.65839397
1.7,0.831436747,0,0,0,83.13263434,72.00883174,65.61647015,59.65839397
1.8,0.880344791,0,0,0,83.06825051,71.8504986,65.53927763,59.65839397
1.9,0.929252835,0,0,0,83.00386668,71.69216545,65.46208511,59.65839397
2,0.978160879,0,0,0,82.93948286,71.5338323,65.3848926,59.65839397
2.1,1.027068922,0,0,0,82.87509903,71.37549915,65.30770008,59.65839397
2.2,1.075976966,0,0,0,82.8107152,71.217166,65.23050756,59.65839397
2.3,1.12488501,0,0,0,82.74633138,71.05883286,65.15331505,59.65839397
2.4,1.173793054,0,0,0,82.68194755,70.90049971,65.07612253,59.65839397
2.5,1.222701098,0,0,0,82.61756372,70.74216656,64.99893001,59.65839397
2.6,1.271609142,0,0,0,82.55317989,70.58383341,64.9217375,59.65839397
2.7,1.320517186,0,0,0,82.48879607,70.42550027,64.84454498,59.65839397
2.8,1.36942523,0,0,0,82.42441224,70.26716712,64.76735246,59.65839397
2.9,1.418333274,0,0,0,82.36002841,70.10883397,64.69015995,59.65839397
3,1.467241318,0,0,0,82.29564459,69.95050082,64.61296743,59.65839397
3.1,1.516149362,0,0,0,82.23126076,69.79216767,64.53577491,59.65839397
3.2,1.565057406,0,0,0,82.16687693,69.63383453,64.4585824,59.65839397
3.3,1.61396545,0,0,0,82.1024931,69.47550138,64.39400249,59.65839397
3.4,1.649622578,0,0,0,82.03810928,69.31716823,64.34094709,59.65839397
3.5,1.651389372,0,0,0,82.02090745,69.15883508,64.28789169,59.65839397
3.6,1.653156165,0,0,0,82.04876336,69.00050194,64.23483629,59.65839397
3.7,1.654922959,0,0,0,82.07661926,68.84216879,64.18178089,59.65839397
3.8,1.656689753,0,0,0,82.10447517,68.68383564,64.12872549,59.65839397
3.9,1.658456547,0,0,0,82.13233108,68.68365474,64.07567009,59.65839397
4,1.660223341,0,0,0,82.16018699,68.68365474,64.02261469,59.65839397
4.1,1.661990135,0,0,0,82.1880429,68.68365474,63.96955929,59.65839397
4.2,1.663756929,0,0,0,82.21589881,68.68365474,63.91650389,59.65839397
4.3,1.665523723,0,0,0,82.24375472,68.68365474,63.86344849,59.65839397
4.4,1.667290517,0,0,0,82.27161063,68.68365474,63.81039309,59.65839397
4.5,1.669057311,0,0,0,82.29946653,68.68365474,63.75733769,59.65839397
4.6,1.670824105,0,0,0,82.32732244,68.68365474,63.70428229,59.65839397
4.7,1.672590899,0,0,0,82.35517835,68.68365474,63.65122689,59.65839397
4.8,1.674357692,0,0,0,82.38303426,68.68365474,63.59817149,59.65839397
4.9,1.676124486,0,0,0,82.41089017,68.68365474,63.54511609,59.65839397
5,1.67789128,0,0,0,82.43874608,68.68365474,63.49206069,59.65839397
5.1,1.679658074,0,0,0,82.46660199,68.68365474,63.43900529,59.65839397
5.2,1.681424868,0,0,0,82.4944579,68.68365474,63.38594989,59.65839397
5.3,1.683191662,0,0,0,82.5223138,68.68365474,63.33289449,59.65839397
5.4,1.684958456,0,0,0,82.55016971,68.68365474,63.27983909,59.65839397
5.5,1.68672525,0,0,0,82.57802562,68.68365474,63.22678369,59.65839397
5.6,1.688492044,0,0,0,82.60588153,68.68365474,63.17372829,59.65839397
5.7,1.690258838,0,0,0,82.63373744,68.68365474,63.12067289,59.65839397
5.8,1.692025632,0,0,0,82.66159335,68.68365474,63.06761749,59.65839397
5.9,1.693792426,0,0,0,82.68944926,68.68365474,63.01456209,59.65839397
6,1.695559219,0,0,0,82.71730517,68.68365474,62.96150669,59.65839397
6.1,1.697326013,0,0,0,82.74516108,68.68365474,62.90845129,59.65839397
6.2,1.699092807,0,0,0,82.77301698,68.68365474,62.85539589,59.65839397
6.3,1.700859601,0,0,0,82.80087289,68.68365474,62.80234049,59.65839397
6.4,1.702626395,0,0,0,82.8287288,68.68365474,62.74928509,59.65839397
6.5,1.695804481,0,0,0,82.85658471,68.68365474,62.69622969,59.65839397
6.6,1.680684963,0,0,0,82.8113911,68.68365474,62.66681423,59.65839397
6.7,1.665565445,0,0,0,82.65543496,68.68080624,62.66681423,59.65839397
6.8,1.650445927,0,0,0,82.49947882,68.62690859,62.66681423,59.65839397
6.9,1.635326409,0,0,0,82.34352267,68.57301093,62.66681423,59.65839397
7,1.620206891,0,0,0,82.18756653,68.51911327,62.66681423,59.65839397
7.1,1.605087373,0,0,0,82.03161039,68.46521561,62.66681423,59.65839397
7.2,1.589967855,0,0,0,81.87565425,68.41131796,62.66681423,59.65839397
7.3,1.574848337,0,0,0,81.71969811,68.3574203,62.66681423,59.65839397
7.4,1.559728819,0,0,0,81.56374196,68.30352264,62.66681423,59.65839397
7.5,1.544609301,0,0,0,81.40778582,68.24962498,62.66681423,59.65839397
7.6,1.529489783,0,0,0,81.25182968,68.19572733,62.66681423,59.65839397
7.7,1.514370265,0,0,0,81.09587354,68.14182967,62.66681423,59.65839397
7.8,1.499250748,0,0,0,80.9399174,68.08793201,62.66681423,59.65839397
7.9,1.48413123,0,0,0,80.78396125,68.03403435,62.66681423,59.65839397
8,1.469011712,0,0,0,80.62800511,67.9801367,62.66681423,59.65839397
8.1,1.453892194,0,0,0,80.47204897,67.92623904,62.66681423,59.65839397
8.2,1.438772676,0,0,0,80.31609283,67.87234138,62.66681423,59.65839397
8.3,1.423653158,0,0,0,80.16013669,67.81844372,62.66681423,59.65839397
